"Tracklist short","ID"
"1. Groovy Kind Of Love, A - Phil Collins
2. He Ain't Heavy, He's My Brother - Hollies (The)
3. Circle In The Sand - Belinda Carlisle
4. Don't Turn Around - Aswad
5. I Found Someone - Cher
6. Need You Tonight - INXS
7. Angel Of Harlem - U2
8. Somewhere Dow",90
"1. Ian McCulloch - The Prettiest Star 2. Culture Club - Starman 3. Guy Chadwick - Fall in love with me 4. Edwyn Collins - The gospel according to Tont Day 5. Divine Comedy - Life on Mars 6. Alejandro Escovedo - All the young dudes 7. Midge Ure - The man w",91
"1. It's Immaterial - Festival Time
2. Marc Almond - Indigo Blue
3. The Fall - LA (live)
4. Yello - There Is No Reason
5. Woodentops - Why
6. Edwyn Collins - Kindred Spirit
7. Pulp - Don't You Know
8. Jazzateers - Pressing On
9. Wild Flowers - Where My Hea",92
"1. JAN HAMMER „The Origianl Miami Vice Theme“
2. DON JOHNSON („SONNY CROCKETT“) „Heartbeat“
3. TINA TURNER „Better Be Good To Me“
4. PHIL COLLINS „Against All Odds (Take A Look At me Now)“
5. BRUCE WILLIS „Respect Yourself“
6. DON JOHNSON („SONNY CROCKETT",93
"1. Lawnchairs - Our Daughters Wedding
2. Papa's Got A Brand New Pigbag - Pigbag
3. Bostich - Yello (Extended remix)
4. Ball Of Confusion - Love & Rockets (Extended version)
5. Rapture - Blondie (Special Disco Mix)
6. Precious - The Jam (Extended version)
",94
"1. Listen To The Music - Doobie Brothers, The
2. Don't Get Me Wrong - Pretenders, The
3. Cold As Ice - Foreigner
4. Shout - Tears For Fear
5. Addicted To Love - Robert Palmer
6. Call Me - Blondie
7. Walking On Sunshine - Katrina & The Waves
8. Live Your L",95
"1. Muzikizum
2. Supasong
3. Lazy - (featuring David Byrne)
4. Angel
5. Palenque
6. Smoke Machine
7. I Want You Back - (featuring Dieter Meier)
8. Call That Love - (featuring Steve Edwards)
9. AC/DC

10. Ending, The",96
"1. Neneh Cherry - I've Got You Under My Skin

2. Depeche Mode - I Feel You

3. Bally Sagoo - O Saathi Re

4. Stars on 54 - If You Could Read My Mind

5. Lionel Richie - Angel (remix)

6. Deborah Cox - Nobody's Supposed To Be Here

7. Ministry - Lay Lady L",97
"1. Neneh Cherry ~ I've Got You Under My Skin

2. Depeche Mode ~ I Feel You

3. Bally Sagoo ~ O Saathi Re

4. Stars On 54 ~ If You Could Read My Mind

5. Lionel Richie ~ Angel (Remix)

6. Deborah Cox ~ Nobody's Surprised to be Here

7. Ministry ~ Lay Lady ",98
"1. Oh Yeah (from inchFerris Bueller's Day Offinch) - Yello
2. Pretty In Pink (from inchPretty In Pinkinch) - The Psychedelic Furs
3. If You Leave (from inchPretty In Pinkinch) - Orchestral Manoeuvers In The Dark
4. Rock 'N' Roll High School (from inchRock 'N' Roll High School",99
"1. Oystein-Sevag: inchThe door is openinch, 2. Morgan Fisher: inchLoveinch, 3. Vangelis: inchTao of loveinch, 4. Djam & Fam: inchShe left homeinch, 5. Badema: inchUrgainch, 6. Nitin Sawhney: inchBengali songinch, 7. Jam & Spoon: inchSecret kind of loveinch, 8. Agartha: inchCrossinginch, 9. Gentle Peopl",100
